text,label,word_count
"The transformer in our locality makes a loud buzzing sound and often emits sparks, especially during the night. We are worried it might explode. The electricity department should inspect it for any faults before a disaster strikes.",3,37
The water fountain at the city's central park has been defunct for more than six months. It used to be a major attraction for visitors and children. Can the authorities please repair it and bring it back to life?,2,39
"A large dead animal is lying on the side of the highway, causing a terrible smell and posing a risk to public health. It needs to be removed by the concerned sanitation department as soon as possible.",1,37
"The road condition in our industrial area is pathetic. It is full of large craters and gets waterlogged with the slightest rain, making it impossible for trucks and other vehicles to move. This is affecting our business badly.",0,38
"The main power cable for our apartment building is exposed and lying on the ground near the entrance. This is an open invitation to a fatal accident, especially with children playing around. This needs to be rectified on an urgent basis.",3,41
The local library's reading room has several broken chairs and the fans are not working. It's very difficult for students who come here to study for their exams. We request the management to provide these basic amenities.,2,37
"The drainage system in our colony is completely choked. Every time it rains for even half an hour, the roads get flooded with dirty water that enters our homes. This recurring problem needs a permanent solution from the civic body.",1,40
Many of the new LED streetlights that were installed last year are already fused or keep flickering. It seems the quality of the material used was very poor. This is a waste of taxpayer money and needs to be investigated.,0,40
"Why is our garbage not being segregated? We separate our wet and dry waste diligently, but the collection workers mix everything together in the same truck. What is the point of the whole exercise if this is how it's handled?",1,40
The electricity meter installed at my shop is running too fast. My bill has doubled in the last two months even though my consumption has remained the same. I suspect the meter is faulty and request a check-up.,3,38
"The bus shelter shed near the market is damaged, with half of its roof missing. It provides no protection from the sun or rain to the waiting passengers. This public amenity is in desperate need of repair.",2,37
"There is a dangerous, uncovered manhole on the main sidewalk. Anyone could fall into it, especially at night. It needs to be covered immediately before someone gets seriously injured. It's a clear case of municipal negligence.",0,36
The erratic voltage supply in our area has damaged my refrigerator and television set. Who is going to compensate me for this loss? The electricity department must provide a stable supply and take responsibility for such damages.,3,37
The community sanitation complex built last year has been locked up and is not open for public use. It's a shame that a facility created for public hygiene is lying useless. Please make it operational.,2,35
"Dead leaves and plastic waste have clogged the storm water drains along our street. With the monsoon approaching, we are worried about severe waterlogging. The drains need to be cleaned out thoroughly before the rains start.",1,36
The newly laid road in our colony has already started chipping away. The quality of the tar and material used is clearly substandard. There should be an inquiry into this shoddy work.,0,32
There is a beehive on the electricity pole right next to the park entrance. It poses a threat to the children who play there. We request the electricity board or the fire department to help remove it safely.,3,38
"The public park is not being maintained at all. The grass is overgrown, the walking track is broken, and it has become a haven for antisocial elements after sunset due to poor lighting. The authorities need to take action.",2,39
"The garbage truck that comes to our area often leaks foul-smelling liquid on the road, leaving a dirty trail throughout the colony. The vehicle itself needs maintenance and proper cleaning.",1,30
"The timing of the traffic light at the city hospital junction is poorly calibrated. The green light for the main road is too short, leading to long queues of vehicles and even blocking the way for ambulances.",0,37
"The power lines in our old city area are a tangled mess of wires. They are hanging very close to the buildings and balconies, which is a major fire hazard. A project to move these wires underground is long overdue.",3,40
"The hand pump in our village, which is the main source of drinking water for about 50 families, has been broken for over a week. We are facing a severe water crisis. It needs to be repaired on a priority basis.",2,41
"I am complaining about the irregular schedule of the door-to-door garbage collection service. They are supposed to come daily but often skip 2-3 days in a row, forcing us to keep smelly garbage inside our homes.",1,36
"The road divider is broken at several places on the flyover, which is encouraging bikers to dangerously cut across to the other side. This needs to be repaired to prevent accidents.",0,31
My application for a new electricity connection has been pending for over two months without any reason being given for the delay. I have visited the office multiple times but get no clear response. Please help me escalate this.,3,39
The public gym equipment installed in the park is now mostly broken due to misuse and lack of maintenance. It's a good initiative that is failing because of neglect. It should be repaired for the benefit of public health.,2,39
"The sewage treatment plant in our area seems to be non-functional as untreated, foul-smelling waste is being released directly into the river. This is causing massive water pollution and killing aquatic life. An urgent investigation is needed.",1,37
"A heavy branch from an old tree is leaning precariously over the main electricity lines on our street. During strong winds, it could fall and cause a major power outage or a serious accident. The horticulture and electricity departments need to coordinate and trim it.",3,45
"The pedestrian footbridge over the highway is in a terrible state. The steps are broken, and the safety railings are missing in some parts. It's very risky to use, forcing people to dangerously cross the busy road below.",0,38
"Our neighborhood does not have a designated place for waste disposal. As a result, people just dump their garbage in an open corner plot, which has turned into a mini landfill. We desperately need a community garbage bin or a collection point.",1,42
"The local sports ground is unusable. The ground is uneven, full of stones, and turns into a slushy field after a little rain. The city needs to invest in maintaining such public spaces for the youth.",2,36
There was a sudden power surge last night that blew the fuse in several houses in our block. This constant fluctuation is damaging our expensive electronic appliances. The electricity department needs to ensure a stable power supply.,3,37
"The speed bumps on the road leading to the school are completely worn out. Vehicles now speed through this zone, which is a huge safety risk for the students. The speed bumps need to be re-laid properly.",0,37
A massive pothole on MG Road near the main market has been causing major traffic disruptions and has already damaged several car tires. It's particularly dangerous for motorcyclists at night. We request the municipal corporation to undertake repairs at the earliest.,0,41
"The streetlights in the entirety of Sector 15-A have not been functional for over two weeks. The entire area is pitch black after 7 PM, leading to a rise in chain-snatching incidents and making it unsafe for residents.",0,38
"The traffic signal at the junction of University Road and the highway bypass is completely dead. This has turned the crossing into a chaotic and accident-prone zone, especially during morning and evening peak hours. It needs immediate attention.",0,38
The pavement along the canal road is broken and has completely crumbled in several places. It's become impossible for elderly people and children to walk safely. This is a clear case of negligence that needs to be rectified.,0,38
"There's a missing manhole cover on the main sidewalk near the city hospital. It's a serious death trap, especially for pedestrians at night. Someone needs to cover it immediately before a tragic accident occurs.",0,34
"The road markings, especially the zebra crossing near the public school, have faded completely. This puts school children at immense risk as vehicles do not slow down. We need them repainted urgently for safety.",0,34
"Waterlogging is a perennial problem on our street after even a light shower. The road was not constructed with a proper slope for drainage, causing water to stagnate for days. This needs a permanent engineering solution.",0,36
The recently installed speed bumps in our residential colony are excessively high and unscientific. They are causing damage to the underside of our cars and are a nuisance rather than a safety measure. They should be redesigned.,0,37
"A large tree fell during the storm last week and it is still partially blocking the road to the railway station. Traffic has been diverted, causing long delays. The authorities need to clear this obstruction immediately.",0,36
"The condition of the service lane along the national highway is pathetic. It's full of craters and illegally parked trucks, making it unusable for local traffic. The purpose of the service lane is completely defeated.",0,35
"The reflective cat's eyes and studs are missing from most of the road dividers in the city. This makes driving at night extremely difficult and dangerous, especially for those who are new to the area.",0,35
"The signboards indicating street names and directions are either missing or completely rusted in our area. It's very difficult for visitors and delivery services to find addresses. We need new, clear signage.",0,32
The pedestrian footbridge over the railway tracks is in a dilapidated state. The concrete is chipping off and the railings are rusted. It feels unsafe to use. It needs an urgent structural audit and repair.,0,35
"There is no proper lighting under the main city flyover, making it a hub for illicit activities at night. It's very unsafe to pass through that area after dark. High-mast lights should be installed there.",0,35
"The road is constantly being dug up by different utility companies without proper coordination or restoration. After they leave, the patches are left uneven, making the road surface a nightmare to drive on.",0,33
The anti-smog gun that was installed at our busy traffic intersection has been non-functional for months. Pollution levels here are extremely high and this equipment needs to be made operational again.,0,31
"The guardrails on the side of the bridge are broken and missing in some sections. This is extremely dangerous, as a vehicle could easily go over the edge. This requires immediate fixing.",0,32
"The main road is being used as an illegal parking spot for heavy commercial vehicles at night. They occupy more than half the road, creating a bottleneck and a potential accident risk. This needs to be stopped.",0,37
"The surface of the new flyover has become very slippery, especially during rains. It seems the material used for construction was not appropriate. Several bikes have skidded here recently.",0,29
"The traffic police personnel are rarely present at the busiest intersection in our commercial area, leading to constant signal jumping and traffic violations. We need a more consistent presence to manage the flow.",0,33
"The roundabout near the city entrance is poorly designed, causing confusion among drivers and leading to frequent minor accidents. It needs to be re-engineered for smoother and safer traffic flow.",0,30
"The bus lane is always encroached upon by private cars and auto-rickshaws, defeating its very purpose. There is no enforcement to keep the lane clear for public transport, which delays the bus service.",0,33
The incessant dust from the ongoing metro construction is causing a lot of pollution and health issues. They are not sprinkling water regularly to suppress the dust as per the norms.,0,31
"A new, unannounced road diversion has been put in place without any proper signage, causing immense confusion and leading drivers into long, congested alternative routes. Communication needs to be better.",0,30
The concrete barriers placed for road division are broken and scattered. They are more of a hazard than a safety feature in their current state and need to be replaced or removed.,0,32
The road leading to the IT park is too narrow to handle the peak hour traffic. The daily traffic jam wastes thousands of man-hours. The road needs to be widened to accommodate the growing volume of vehicles.,0,37
The storm water drain inlet on the side of the road is completely choked with plastic and silt. This is the primary reason for waterlogging in our area. It requires immediate desilting before the monsoon.,0,35
There is a blind curve on the hill road which has no mirror or warning sign. It is a major accident hotspot. A convex mirror must be installed there to prevent head-on collisions.,0,33
"The street nameplate for our lane is misspelled. It's a small issue, but it causes a lot of confusion for postal services and visitors. Can this be corrected, please?",0,29
"The public announcement system at the main traffic signal is not working. It's an important tool for traffic police to manage jams and make announcements, and it needs to be repaired.",0,31
The BRTS corridor is not being maintained. The automated doors at the bus stops are broken and the lane is full of debris. The infrastructure is crumbling due to neglect.,0,30
"The road is being eroded from the side because a proper retaining wall was never built. During rains, landslides occur, blocking the road. A permanent solution is required.",0,28
"Illegal street vendors have encroached upon the entire sidewalk, forcing pedestrians to walk on the main road amidst heavy traffic. This is a disaster waiting to happen. The sidewalk must be cleared.",0,32
"The toll plaza has too few active counters during peak hours, leading to massive queues that extend for kilometers. The management needs to ensure all counters are operational to ease congestion.",0,31
"The rumble strips placed before the school zone are so aggressive that they feel like a major jolt. They need to be replaced with smoother, more scientifically designed strips.",0,29
The solar-powered streetlights that were installed with much fanfare have stopped working. It seems the batteries or the panels are faulty. The old system was more reliable.,0,27
"A temporary road laid for a construction project was never removed, and it has now become a bumpy, dusty path that is a nightmare for local residents. It should be properly tarred or removed.",0,34
The lack of lane discipline is a major issue on our city roads. Nobody follows the lanes and there is no enforcement. Can we have a campaign and stricter fines for this?,0,32
The road is damaged due to constant overloading by heavy trucks from the nearby industrial area. The road was not designed for such heavy loads and is breaking apart. There should be a weight limit.,0,35
The traffic warden at our junction is more interested in talking on his phone than managing the traffic. The chaos during rush hour is a direct result of his negligence. A supervisor should look into this.,0,36
"There is an open electrical junction box right next to the sidewalk. The wires are exposed, which is extremely dangerous, especially for children. It needs to be secured and locked immediately.",0,31
"The 'smart' traffic light system, which is supposed to adapt to traffic flow, seems to be malfunctioning. The timings are erratic and often make the congestion worse rather than better.",0,30
"The noise barriers on the flyover next to our residential complex are broken. The traffic noise is unbearable, especially at night. These barriers need to be repaired on a priority basis.",0,31
The road has developed several long cracks after the recent spell of heavy rain. It looks like the foundation is weak. It needs a thorough inspection before a part of it caves in.,0,33
"The pedestrian crossing button at the traffic light does not work. It's just a dummy button. This makes it very difficult for people, especially the disabled, to cross the road safely.",0,31
"The new interlocking tiles on the pavement are very slippery. Several people have slipped and fallen, especially after it rains. The material used is not suitable for a public walkway.",0,30
"A traffic police towing van is always parked haphazardly near the corner, creating a blind spot for drivers. It's ironic that a vehicle meant to enforce rules is itself a traffic hazard.",0,32
The median strip is not maintained and is full of overgrown weeds and trash. It's an eyesore in the middle of a major road and should be cleaned and beautified.,0,30
The road leading to the crematorium is in a terrible state. It's disrespectful to have such a broken and bumpy road for funeral processions. It should be repaired as a matter of priority and respect.,0,35
"The underpass gets flooded every single time it rains, making it unusable. The drainage pumps installed are either inadequate or not working. This problem has been ignored for years.",0,29
"Garbage has not been collected from our apartment complex for five days. The designated bin area is overflowing, and the stench is spreading to the nearby homes. It's a major hygiene issue.",1,32
"The community dustbins in our market area are broken and do not have lids. Stray dogs and cows scatter the waste all over the street, creating a filthy environment for shoppers and vendors.",1,33
"Someone is illegally dumping large bags of medical waste, including syringes and bandages, in the open field behind our colony. This is extremely hazardous and requires immediate investigation and cleanup.",1,30
"The main sewage line in our street is choked, and filthy water is backflowing into our toilets. It's a disgusting and unhealthy situation. We need the sanitation department to bring a jetting machine urgently.",1,34
"The street sweepers do not clean our lane regularly. It's always littered with plastic bags, food wrappers, and dust. We pay our taxes and deserve better civic services.",1,28
"A dead cow has been lying on the side of the road for two days, and no one has come to remove it despite multiple complaints. The smell is unbearable and it's a risk to public health.",1,37
"The storm water drains in our locality are filled with plastic bottles and silt. They haven't been desilted before the monsoon season, and we are afraid of severe waterlogging once the rains start.",1,33
The garbage collection truck spills waste on the road while it's moving. The vehicle needs to be properly covered to prevent littering the streets it is supposed to be cleaning.,1,30
"There is no system for collecting e-waste in our city. People just dump their old electronics with regular trash, which is harmful to the environment. We need designated e-waste collection points.",1,31
The public toilet at the bus stand is never cleaned. It's a breeding ground for diseases. The authorities must ensure it is cleaned multiple times a day and has a regular water supply.,1,33
A local restaurant is dumping all its food waste in the open drain behind its building. This is blocking the drain and attracting a lot of pests like rats and cockroaches.,1,31
"The communal garbage disposal area has become a mini landfill. It is not cleared on time, and people have started burning the trash, which creates toxic smoke and air pollution.",1,30
"The sanitation workers are not provided with proper safety gear like gloves, masks, or boots. It's a serious risk to their health and a violation of labor norms.",1,28
"Our neighborhood does not have enough dustbins. As a result, people are forced to throw their trash on the corners of the streets. Please install more public bins.",1,28
"The work of segregating wet and dry waste is not being taken seriously. We segregate our waste at home, but the collectors mix it all up in the same truck, defeating the purpose.",1,33
"The sewer manhole cover in front of my house is broken and sewage is spilling out. The entire street stinks, and it's impossible to walk without stepping in the filth. This needs immediate replacement.",1,34
"The waste-to-energy plant is releasing thick black smoke, which is causing breathing problems for people living in the vicinity. The pollution control norms are clearly being violated.",1,27
The nullah (major drain) flowing through our city is full of industrial effluents and plastic waste. It has turned into a toxic sewer. A major cleanup drive is required to revive it.,1,32
The door-to-door garbage collection service is very unreliable. They don't have a fixed time and often skip our house. We need a more professional and dependable service.,1,27
"There is a large pile of garden waste, including branches and leaves, that has been lying on the sidewalk for weeks. The horticulture department should have a system to collect this.",1,31
The bio-toilet that was installed in the market is locked and has been non-functional since its inauguration. What is the use of creating such facilities if they are not maintained?,1,30
"I want to complain about the unhygienic conditions at the local vegetable market. There's no proper system for waste disposal, and vendors just throw rotten vegetables on the ground.",1,29
"The septic tank of our community hall is full and overflowing. It needs to be emptied by the municipal tanker service, but they have not responded to our requests.",1,29
"People are throwing religious offerings and plastic bags into the river from the main bridge, polluting the water source. There should be signs and penalties to stop this.",1,28
The garbage compactor station is located too close to a residential area. The smell and the noise from the trucks are a constant nuisance for the residents. It should be relocated.,1,31
"The service for lifting construction and demolition waste is not responsive. I have debris from my house renovation that I need to dispose of, but there is no one to collect it.",1,32
"The pneumatic waste collection system in our smart city layout is not working. We are back to manually disposing of our garbage in open bins, which is a step backward.",1,30
The drains in our area are not covered. They are full of filth and pose a danger to children playing nearby. They must be covered with concrete slabs.,1,28
The public awareness campaigns about sanitation and 'Swachh Bharat' are not visible in our ward. The ground reality is very different from what is advertised.,1,25
The team that comes for mosquito fogging does not cover all the lanes. They just do the main road and leave. This makes the exercise ineffective against dengue and malaria.,1,30
"The dustbins provided by the municipality are of very poor quality and have broken within a few months. We need sturdy, durable bins that can withstand daily use.",1,28
"Our request for a new community toilet in the slum area has been pending for over a year. The residents are forced to defecate in the open, which is a major health and safety issue.",1,35
"The waste disposal trucks are very old and poorly maintained. They often break down, which disrupts the entire garbage collection schedule for the city.",1,24
"There is no proper mechanism for disposing of sanitary waste like diapers and pads. It gets mixed with all other waste, which is unhygienic for the sanitation workers.",1,28
"The local scrapyard is handling hazardous waste without any precautions, burning wires to extract copper and releasing toxic fumes into the air. This illegal activity needs to be stopped.",1,29
"The grease and oil from the roadside food stalls are being dumped directly into the drains, causing them to clog. The municipality should enforce rules for proper disposal.",1,28
"The public bins are always surrounded by a pack of stray dogs, which makes it scary for people to go near them to dispose of their trash. This needs to be managed.",1,32
The composting pit in our community garden has been abandoned and has turned into a stinking mess. It needs to be revived and managed properly to encourage organic waste processing.,1,30
The beach is littered with plastic and tourist trash. The cleaning efforts are inadequate to handle the sheer volume of waste being generated daily. More bins and regular cleaning are needed.,1,31
The mechanical sweeping machine is often seen parked on the side of the road and not being used. It's a waste of resources if this expensive equipment is not utilized for its purpose.,1,33
The transition from open garbage dumps to scientific landfills is happening too slowly. Our city's landfill is overflowing and is a major source of air and groundwater pollution.,1,28
The penalty for littering in public is not being enforced strictly. People throw trash from their cars and on the streets without any fear. We need stricter vigilance and fines.,1,30
The water in our taps is dirty and smells bad. It seems there is a leakage in the pipeline and sewage water is getting mixed with the drinking water supply. This is a serious health emergency.,1,36
"The number of sanitation workers assigned to our ward is insufficient for the population size. The workload is too much for them, and as a result, the cleaning is not up to the mark.",1,34
The beautification project of the lake is a failure because there is no system to stop the inflow of sewage and solid waste into it. The first step should be to ensure zero discharge of waste.,1,36
"The trash collection fee is being charged, but the service provided is extremely poor and irregular. We are not getting our money's worth and the locality remains dirty.",1,28
"During festivals, special arrangements for waste collection are not made, leading to huge piles of trash on the streets for days after the celebrations. The city needs better planning for this.",1,31
"The carcass of a small animal is stuck in the drain, causing a blockage and a foul odor. We need the sanitation staff to come and clear it out.",1,29
"The community recycling center is always closed or unattended. It's a great initiative, but it's useless if it's not accessible to the public.",1,23
"The equipment at the children's park in Jawahar Nagar is broken and dangerous. The slide has a sharp crack, and two of the swings have their chains snapped. It's an accident waiting to happen for the kids who play there.",2,40
"The public library is poorly maintained. It is dusty, poorly lit, and several chairs are broken. It's difficult for students and readers to concentrate in such a dismal environment. It needs a complete overhaul.",2,34
"The bus shelter at the main market bus stop has a broken roof. It offers no protection from the scorching sun or the rain, forcing passengers to wait on the open road. This basic amenity needs to be fixed.",2,39
"The public water cooler installed near the courthouse is not working. It has been defunct for months. In this heat, it's a great inconvenience for the hundreds of people who visit the area daily.",2,34
"The public toilets at the interstate bus terminal are in a pathetic, unhygienic state. There is no water, no soap, and the stench is unbearable. It is a terrible impression for visitors to our city.",2,35
"The benches in the city's main garden are all broken or have been vandalized. There is no proper place for senior citizens to sit and relax. We request the authorities to install new, sturdy benches.",2,35
"The floodlights at the local community sports ground are not working. This means the ground cannot be used for any sports activities after sunset, which is a great loss for the local youth.",2,33
"The hand pump, which is the only source of drinking water for our small village, has been broken for over a week. Women have to walk an extra two kilometers to fetch water. It needs to be repaired on a priority basis.",2,42
"The local swimming pool run by the municipality is very dirty. The water is not cleaned regularly, and the changing rooms are filthy. It's a health hazard to swim there.",2,30
The 'smart city' information kiosk that was installed at the city square has never worked. It's just a dead screen taking up space. It's a complete waste of public money and should be either made functional or removed.,2,38
"The condition of the local community center is terrible. The windows are broken, and the walls have damp patches. It cannot be used for any functions or community gatherings in its current state.",2,33
"The walking track in the park is full of potholes and loose gravel. It's very easy for morning walkers, especially senior citizens, to trip and injure themselves. The track needs to be resurfaced.",2,33
There are no ramps for wheelchair access at the public utility bill payment office. This makes it extremely difficult for disabled and elderly individuals to access the services. It's a violation of accessibility norms.,2,34
"The public gymnasium equipment installed in the open park is rusted and broken. It was a great initiative for public health, but it has been completely neglected after installation. It needs urgent maintenance.",2,33
"The city auditorium's air conditioning system does not work properly. It gets very stuffy during events, making it uncomfortable for both performers and the audience. This needs to be fixed.",2,30
The water fountain in the middle of the roundabout has been dry for years. It's now filled with garbage. It used to be a city landmark and should be restored to its former glory.,2,34
There is no waiting room or proper seating area for relatives at the government hospital. People are forced to wait in the corridors or outside in the heat. A basic amenity like a waiting hall is essential.,2,37
"The national flag that is hoisted at the collector's office is often torn or faded. It is a matter of national pride, and the flag should be replaced respectfully as per the flag code.",2,34
The free public Wi-Fi service that was launched is very unreliable and rarely connects. It's more of a gimmick than a functional service. The network infrastructure needs to be strengthened.,2,30
The creche or child care facility at the government office complex is always locked. This causes great difficulty for working mothers. The facility should be made operational and properly staffed.,2,30
The tourist information center is often closed during peak tourist hours. The staff is not very helpful either. This reflects poorly on our city's tourism efforts.,2,26
The local stadium's track is worn out and not suitable for athletic practice. Our budding athletes deserve better infrastructure to train. The synthetic track needs to be re-laid.,2,28
The public grievance redressal counter at the municipal office is often unmanned. People have to run from one department to another to get their issues heard. There should be a dedicated person available.,2,33
The night shelter for the homeless is in a very bad condition. The blankets are dirty and there aren't enough beds. The people there deserve to be treated with more dignity.,2,31
The fire hydrants in our commercial area seem to be defunct. They are rusted and don't look like they have been maintained at all. This is a major safety concern in case of a fire.,2,35
"The government-run skill development center lacks modern equipment. The computers are outdated, and the machinery is old. How can we expect our youth to learn relevant skills on obsolete technology?",2,30
"The public address system in the city, meant for emergency announcements, has not been tested in years. We don't even know if it works. Regular drills should be conducted.",2,29
"The local post office lacks basic facilities like a proper seating area for customers. It's always crowded, and people, especially the elderly, have to stand in long queues for hours.",2,30
The animal shelter run by the city is understaffed and overcrowded. The animals are not being cared for properly. It needs more funding and volunteers to manage it humanely.,2,29
"The digital display board at the bus station, which is supposed to show bus timings, is always blank. It causes a lot of confusion and inconvenience for the passengers.",2,29
The public art installation at the city entrance has been vandalized with graffiti. It's an ugly sight and needs to be cleaned and restored. There should also be better security to prevent this.,2,33
The senior citizen recreation center is just a single room with a few broken chairs. It's not a welcoming space. Our elders deserve a much better facility with more activities and amenities.,2,32
"The public vaccination center is very poorly managed. There are long, unorganized queues and no proper seating or ventilation. It's a chaotic and unsafe environment.",2,25
"The free legal aid cell at the district court is not very accessible. The information about its services is not widely publicized, and many poor people who need it are not even aware of its existence.",2,36
The designated vending zones for street food are not provided with basic amenities like water supply or waste disposal bins. This forces the vendors to operate in unhygienic conditions.,2,29
"The historical monument in the city is being neglected. The walls are crumbling, and there's trash everywhere. The archaeological department needs to take better care of our heritage.",2,28
"The government fair price shop often has a 'no stock' board. Essential commodities are not available on time, causing hardship for the ration card holders.",2,25
The mobile science van that is supposed to visit schools in rural areas has not come to our village in over a year. Our children are missing out on this important learning opportunity.,2,33
"The check-dam built to conserve water is leaking and has developed cracks. It needs to be repaired before the monsoon, or it might collapse, causing a flood in the downstream villages.",2,31
"The community radio station has very poor transmission quality. It's an important source of local news and information, and its equipment needs to be upgraded.",2,25
"The public boat club is in a state of disrepair. The boats are old and unsafe, and the jetty is broken. It has the potential to be a great recreational spot if it is maintained.",2,35
The government employment exchange office is not helpful at all. They just ask you to register online and never provide any real job assistance or counseling.,2,26
"The drinking water ATMs that were installed are either out of service or dispense unclean water. The concept is good, but the implementation and maintenance are a complete failure.",2,29
The state-run emporium meant to promote local artisans is located in a remote corner of the city and is poorly marketed. The artisans are not getting the platform they deserve.,2,30
The emergency helpline number for civic issues is always engaged or the person who answers is clueless. The system is inefficient and does not solve the citizen's problems.,2,28
The public observation deck that offers a view of the city is dirty and the telescopes are broken. It's a missed opportunity to create a good tourist experience.,2,28
The cultural center has no activities scheduled for months. The building is lying unused while there is a great demand for a space for artists to perform and exhibit their work.,2,31
"The public parking facility is poorly managed. There is no system, and the attendants often overcharge. We need a more organized and transparent parking system.",2,25
"We have been experiencing frequent and unannounced power cuts for the last three days, each lasting for 3-4 hours. This is causing a lot of problems with online classes for our children and work-from-home schedules.",3,35
"The electricity transformer in our neighborhood makes a loud, humming sound and frequently trips, leading to a complete blackout. We are afraid it is overloaded and might catch fire. It needs to be checked by the department.",3,37
"The electricity bill I received this month is almost double the usual amount, even though our consumption has not changed. I am sure there is an issue with the meter, and I request a meter inspection.",3,36
"There is an electricity pole right in front of my house that is dangerously tilted and looks like it could fall anytime, especially during strong winds. The wires are also hanging very low. It's a major safety hazard.",3,38
"A bundle of open, tangled electrical wires is hanging from the pole on our street. It's a death trap waiting for an accident, especially during the rainy season. These need to be secured and organized immediately.",3,36
"We applied for a new electricity connection over two months ago, and despite completing all the formalities and payments, there has been no action from the electricity board. The delay is inexplicable and frustrating.",3,34
"The voltage in our area fluctuates wildly throughout the day. We are constantly worried about our expensive electronic appliances like the TV, fridge, and AC getting damaged due to these surges and dips.",3,33
"After a recent storm, a live high-tension wire has snapped and fallen on the road. The area has not been cordoned off, and it's extremely dangerous for anyone passing by. An emergency team needs to be dispatched right away.",3,39
"The streetlights in our area remain switched on even during broad daylight, leading to a colossal waste of electricity. This is happening every day. The automated timer system seems to be faulty.",3,32
"I want to report a case of power theft. The factory next to our colony has a direct hook to the main line, bypassing their meter. This is illegal and also puts an excessive load on the local transformer.",3,39
The electricity department personnel came to fix a fault but left the junction box open with all wires exposed. This is gross negligence and is very dangerous for the kids who play on the street.,3,35
The power supply to our agricultural pump set is very erratic and is not provided as per the announced schedule. This is affecting our irrigation cycle and will damage our crops.,3,31
The new smart meter that was installed is showing very erratic readings. The mobile app also does not update correctly. The new system seems to have a lot of glitches that need to be ironed out.,3,36
"There is no electricity in our building for the past 12 hours because of a fault in the main supply cable. We have registered multiple complaints, but no technician has been assigned to our case yet.",3,36
"The transformer in our area is not fenced or protected. Children often play near it, and stray animals wander in, which is very dangerous. It needs to be properly enclosed for safety.",3,32
"The billing cycle is very inconsistent. Sometimes we get a bill for 45 days and sometimes for 25 days, which makes it very difficult to manage our household budget. It should be a fixed monthly cycle.",3,36
"The call center for the electricity board is a nightmare. It takes forever to connect, and when you do, the staff is rude and unable to provide any useful information about power restoration times.",3,34
The wooden electricity poles in our old city area are rotting from the base and are in a state of decay. They need to be replaced with concrete or steel poles before they collapse.,3,34
The process for increasing the sanctioned load for our connection is very cumbersome and involves too much paperwork and running around. It should be simplified and made available online.,3,29
"During the rainy season, we often get a mild electric shock from the metallic gate and railings of our house. This indicates there is some current leakage in the main supply line to our house, which is very scary.",3,39
"The electricity department is conducting tree trimming near the power lines, but they are leaving all the chopped branches on the road, blocking traffic and creating a mess. They should be responsible for clearing the debris.",3,36
